genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,5.8,165,1,PG-13,27-Jun-14,Paramount Pictures,Transformers: Age of Extinction,2014
"Fantasy
Adventure",Fantasy,Adventure,7.5,144,2,PG-13,17-Dec-14,Warner Bros. / New Line Cinema / MGM,The Hobbit: The Battle of the Five Armies,2014
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,8.1,121,3,PG-13,1-Aug-14,Marvel Studios,Guardians of the Galaxy,2014
"Family
Adventure
Action",Family,Adventure,7.1,97,4,PG,30-May-14,Walt Disney Pictures,Maleficent,2014
"Sci-Fi
Adventure",Sci-Fi,Adventure,6.8,123,5,PG-13,21-Nov-14,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,2014
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,8.1,131,6,PG-13,23-May-14,20th Century Fox,X-Men: Days of Future Past,2014
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.8,136,7,PG-13,4-Apr-14,Marvel Studios,Captain America: The Winter Soldier,2014
"Fantasy
Adventure
Action",Fantasy,Adventure,6.9,142,8,PG-13,2-May-14,Columbia Pictures,The Amazing Spider-Man 2,2014
"Sci-Fi
Drama
Action",Sci-Fi,Drama,7.7,130,9,PG-13,11-Jul-14,20th Century Fox,Dawn of the Planet of the Apes,2014
"Sci-Fi
Adventure",Sci-Fi,Adventure,8.7,169,10,PG-13,7-Nov-14,Paramount Pictures / Warner Bros.,Interstellar,2014
"Comedy
Animation
Adventure",Comedy,Animation,7.7,102,1,PG,27-Nov-13,Walt Disney Pictures,Frozen,2013
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.3,130,2,PG-13,3-May-13,Marvel Studios,Iron Man 3,2013
"Family
Comedy
Animation",Family,Comedy,7.5,98,3,PG,3-Jul-13,Universal / Illumination,Despicable Me 2,2013
"Fantasy
Adventure",Fantasy,Adventure,8,161,4,PG-13,13-Dec-13,Warner Bros. / New Line / MGM,The Hobbit: The Desolation of Smaug,2013
"Adventure
Sci-Fi",Adventure,Sci-Fi,7.7,146,5,PG-13,22-Nov-13,Lionsgate,The Hunger Games: Catching Fire,2013
"Thriller
Crime
Action",Thriller,Crime,7.2,130,6,PG-13,24-May-13,Universal,Fast & Furious 6,2013
"Comedy
Animation
Adventure",Comedy,Animation,7.4,104,7,G,21-Jun-13,Walt Disney Pictures / Pixar,Monsters University,2013
"Thriller
Sci-Fi
Western",Thriller,Sci-Fi,7.9,91,8,PG-13,4-Oct-13,Warner Bros.,Gravity,2013
"Fantasy
Adventure
Action",Fantasy,Adventure,7.2,143,9,PG-13,14-Jun-13,Warner Bros. / Legendary,Man of Steel,2013
"Fantasy
Adventure
Action",Fantasy,Adventure,7.1,112,10,PG-13,8-Nov-13,Marvel Studios,Thor: The Dark World,2013
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,8.2,143,1,PG-13,4-May-12,Marvel Studios,The Avengers,2012
"Thriller
Adventure
Action",Thriller,Adventure,7.8,143,2,PG-13,9-Nov-12,MGM / Columbia,Skyfall,2012
"Thriller
Action",Thriller,Action,8.5,165,3,PG-13,20-Jul-12,Warner Bros. / Legendary,The Dark Knight Rises,2012
"Fantasy
Adventure",Fantasy,Adventure,8,169,4,PG-13,14-Dec-12,Warner Bros. / MGM / New Line,The Hobbit: An Unexpected Journey,2012
"Comedy
Animation
Adventure",Comedy,Animation,6.7,88,5,PG,13-Jul-12,Fox / Blue Sky,Ice Age: Continental Drift,2012
"Fantasy
Drama
Adventure",Fantasy,Drama,5.6,115,6,PG-13,16-Nov-12,Lionsgate / Summit,The Twilight Saga: Breaking Dawn - Part 2,2012
"Fantasy
Adventure
Action",Fantasy,Adventure,7.1,136,7,PG-13,3-Jul-12,Columbia,The Amazing Spider-Man,2012
"Comedy
Adventure
Animation",Comedy,Adventure,7,93,8,PG,8-Jun-12,Paramount / DreamWorks,Madagascar 3: Europe's Most Wanted,2012
"Sci-Fi
Adventure",Sci-Fi,Adventure,7.3,142,9,PG-13,23-Mar-12,Lionsgate,The Hunger Games,2012
"Sci-Fi
Comedy
Action",Sci-Fi,Comedy,6.9,106,10,PG-13,25-May-12,Columbia,Men in Black 3,2012
"Mystery
Fantasy
Adventure",Mystery,Fantasy,8.1,130,1,PG-13,15-Jul-11,Warner Bros.,Harry Potter and the Deathly Hallows - Part 2,2011
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.3,154,2,PG-13,29-Jun-11,Paramount,Transformers: Dark of the Moon,2011
"Fantasy
Adventure
Action",Fantasy,Adventure,6.7,136,3,PG-13,20-May-11,Walt Disney Pictures,Pirates of the Caribbean: On Stranger Tides,2011
"Fantasy
Drama
Adventure",Fantasy,Drama,4.9,117,4,PG-13,18-Nov-11,Summit,The Twilight Saga: Breaking Dawn - Part 1,2011
"Thriller
Adventure
Action",Thriller,Adventure,7.4,133,5,PG-13,21-Dec-11,Paramount,Mission: Impossible - Ghost Protocol,2011
"Animation
Adventure
Action",Animation,Adventure,7.3,91,6,PG,26-May-11,Paramount / DreamWorks,Kung Fu Panda 2,2011
"Thriller
Crime
Action",Thriller,Crime,7.3,131,7,PG-13,29-Apr-11,Universal,Fast Five,2011
Comedy,Comedy,,6.5,102,8,R,26-May-11,Warner Bros.,The Hangover Part II,2011
"Comedy
Animation
Adventure",Comedy,Animation,5.5,103,9,PG,29-Jul-11,Columbia / Sony Pictures,The Smurfs,2011
"Comedy
Animation
Adventure",Comedy,Animation,6.3,106,10,G,24-Jun-11,Walt Disney Pictures / Pixar,Cars 2,2011
"Comedy
Animation
Adventure",Comedy,Animation,8.4,103,1,G,18-Jun-10,Walt Disney Pictures / Pixar,Toy Story 3,2010
"Fantasy
Family
Adventure",Fantasy,Family,6.5,108,2,PG,5-Mar-10,Walt Disney Pictures,Alice in Wonderland,2010
"Fantasy
Family
Adventure",Fantasy,Family,7.7,146,3,PG-13,19-Nov-10,Warner Bros.,Harry Potter and the Deathly Hallows - Part 1,2010
"Sci-Fi
Mystery
Action",Sci-Fi,Mystery,8.8,148,4,PG-13,16-Jul-10,Warner Bros. / Legendary,Inception,2010
"Comedy
Animation
Adventure",Comedy,Animation,6.4,93,5,PG,21-May-10,Paramount / DreamWorks,Shrek Forever After,2010
"Fantasy
Drama
Adventure",Fantasy,Drama,4.9,124,6,PG-13,30-Jun-10,Summit Entertainment,The Twilight Saga: Eclipse,2010
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.1,124,7,PG-13,7-May-10,Paramount / Marvel,Iron Man 2,2010
"Family
Comedy
Animation",Family,Comedy,7.8,100,8,PG,24-Nov-10,Disney,Tangled,2010
"Family
Comedy
Animation",Family,Comedy,7.7,95,9,PG,9-Jul-10,Universal / Illumination,Despicable Me,2010
